game_ID,year,host_country,stage,team,pre_penalties_score,won,winner_took_first_penalty,penalty_round,kick_in_round,penalty_scored,penalty_kicker
29,2018,Russia,Second round,Colombia,1,False,False,2,1,True,Juan Cuadrado
30,2018,Russia,Quarter-finals,Russia,2,False,False,2,1,True,Alan Dzagoev
1,1982,Spain,Semi-finals,West Germany,3,True,False,3,2,False,Uli Stielike
2,1986,Mexico,Quarter-finals,France,1,True,False,3,2,True,Bruno Bellone
3,1986,Mexico,Quarter-finals,West Germany,0,True,True,3,1,True,Lothar Matthäus
4,1986,Mexico,Quarter-finals,Belgium,1,True,False,3,2,True,Hugo Broos
5,1990,Italy,Second round,Republic of Ireland,0,True,False,3,2,True,Andy Townsend
6,1990,Italy,Quarter-finals,Argentina,0,True,True,3,1,False,Diego Maradona
7,1990,Italy,Quarter-finals,Argentina,1,True,False,3,2,True,Julio Olarticoechea
8,1990,Italy,Quarter-finals,West Germany,1,True,False,3,2,True,Karl-Heinz Riedle
9,1994,USA,Second round,Bulgaria,1,True,False,3,2,True,Daniel Borimirov
10,1994,USA,Quarter-finals,Sweden,2,True,True,3,1,True,Tomas Brolin
11,1994,USA,Final,Brazil,0,True,False,3,2,True,Branco
12,1998,France,Second round,Argentina,2,True,True,3,1,True,Juan Sebastián Verón
13,1998,France,Quarter-finals,France,0,True,True,3,1,True,David Trezeguet
14,1998,France,Semi-finals,Brazil,1,True,True,3,1,True,Emerson
15,2002,Korea/Japan,Second round,Spain,1,True,False,3,2,False,Juanfran
16,2002,Korea/Japan,Quarter-finals,South Korea,0,True,True,3,1,True,Seol Ki-hyeon
17,2006,Germany,Second round,Ukraine,0,True,True,3,1,True,Serhiy Rebrov
18,2006,Germany,Quarter-finals,Germany,1,True,True,3,1,True,Lukas Podolski
19,2006,Germany,Quarter-finals,Portugal,0,True,True,3,1,False,Petit
20,2006,Germany,Final,Italy,1,True,True,3,1,True,Daniele De Rossi
21,2010,South Africa,Second round,Paraguay,0,True,True,3,1,True,Cristian Riveros
22,2010,South Africa,Quarter-finals,Uruguay,1,True,True,3,1,True,Andrés Scotti
23,2014,Brazil,Second round,Brazil,1,True,True,3,1,True,Marcelo
24,2014,Brazil,Second round,Costa Rica,1,True,True,3,1,True,Giancarlo González
25,2014,Brazil,Quarter-finals,Netherlands,0,True,False,3,2,True,Wesley Sneijder
26,2014,Brazil,Semi-finals,Argentina,0,True,False,3,2,True,Sergio Agüero
27,2018,Russia,Second round,Russia,1,True,False,3,2,True,Aleksandr Golovin
28,2018,Russia,Second round,Croatia,1,True,False,3,2,True,Luka Modrić
29,2018,Russia,Second round,England,1,True,False,3,2,False,Jordan Henderson
30,2018,Russia,Quarter-finals,Croatia,2,True,False,3,2,True,Luka Modrić
